,Unnamed: 0,edge_idx,aligned,susc,dist,braessian,seed
7216,11,11,cant_say,-0.0013285449035171,3,False,178
7217,12,12,False,-0.0858239293029933,1,False,178
7218,13,13,False,-0.0794616406772691,2,False,178
7219,14,14,False,0.000306200283268,1,True,178
7220,15,15,True,0.0596400299438667,0,True,178
7221,16,16,False,-0.0001051572537744,2,False,178
7222,17,17,False,-0.0476273771005716,0,False,178
7223,18,18,True,0.0054391412256326,1,True,178
7224,19,19,False,-0.0732519062088377,1,False,178
7225,20,20,True,0.0354866296306672,0,True,178
7226,21,22,cant_say,-0.0079188714839592,1,False,178
7227,22,23,False,-0.0503692624354102,1,False,178
7228,23,24,False,-0.0026223942553778,2,False,178
7229,24,25,False,-0.0026223942553778,2,False,178
7230,25,26,True,0.0708494905438817,0,True,178
